pincode,city,brand,sku,available,delivery_time,price,in_stock,notes
400001,Mumbai,boAt,Airdopes 311 Pro,Yes,12 mins,799,Yes,9 variant(s) matched; showing boAt Airdopes 311 Pro TWS Earbuds (Active Black)
400001,Mumbai,boAt,Nirvana Ion ANC,No,Not available,,No,Not found in search results
400001,Mumbai,boAt,Airdopes 141 Elite ANC,Yes,30 mins,1399,No,
400001,Mumbai,boAt,Chrome Horizon Smart Watch,No,Not available,,No,Not found in search results
400001,Mumbai,boAt,Lunar Vista,No,Not available,,No,Not found in search results
400001,Mumbai,Noise,Buds VS102 Plus,No,Not available,,No,Not found in search results
400001,Mumbai,Noise,Buds N2 Pro,No,Not available,,No,Not found in search results
400001,Mumbai,Noise,Alt Buds,Yes,30 mins,2299,Yes,6 variant(s) matched; showing Noise Alt Buds TWS Earbuds (Metallic Chosen Taupe)
400001,Mumbai,Noise,Alt Watch 1,No,Not available,,No,Not found in search results
400001,Mumbai,Noise,NoiseFit Twist Go,Yes,30 mins,1599,Yes,6 variant(s) matched; showing Noise NoiseFit Twist Go HD Smart Watch (Rose Pink)
560001,Bangalore,boAt,Airdopes 311 Pro,Yes,8 mins,799,Yes,10 variant(s) matched; showing boAt Airdopes 311 Pro TWS Earbuds (Active Black)
560001,Bangalore,boAt,Nirvana Ion ANC,Yes,8 mins,1999,Yes,7 variant(s) matched; showing boAt Nirvana Ion ANC TWS Earbuds (Crystal Black)
560001,Bangalore,boAt,Airdopes 141 Elite ANC,Yes,8 mins,1399,Yes,3 variant(s) matched; showing boAt Airdopes 141 Elite ANC TWS Earbuds (Black)
560001,Bangalore,boAt,Chrome Horizon Smart Watch,No,Not available,,No,Not found in search results
560001,Bangalore,boAt,Lunar Vista,Yes,8 mins,1549,Yes,4 variant(s) matched; showing boAt Lunar Vista HD Smart Watch (Metal Silver)
560001,Bangalore,Noise,Buds VS102 Plus,Yes,8 mins,1499,Yes,5 variant(s) matched; showing Noise Buds VS102 Plus TWS Earbuds (Deep Wine)
560001,Bangalore,Noise,Buds N2 Pro,Yes,8 mins,1599,Yes,3 variant(s) matched; showing Noise Buds N2 Pro Truly Wireless TWS Earbuds (Slate Black)
560001,Bangalore,Noise,Alt Buds,Yes,8 mins,1799,Yes,6 variant(s) matched; showing Noise Alt Buds S TWS Earbuds (Chosen Orange)
560001,Bangalore,Noise,Alt Watch 1,Yes,8 mins,5999,Yes,4 variant(s) matched; showing Noise Alt Watch 1 Amoled Smart Watch (Chosen Black)
560001,Bangalore,Noise,NoiseFit Twist Go,Yes,8 mins,1899,Yes,7 variant(s) matched; showing Noise NoiseFit Twist Go HD Smart Watch (Gold Link)
110001,Delhi,boAt,Airdopes 311 Pro,Yes,8 mins,799,Yes,10 variant(s) matched; showing boAt Airdopes 311 Pro TWS Earbuds (Active Black)
110001,Delhi,boAt,Nirvana Ion ANC,Yes,8 mins,1999,Yes,5 variant(s) matched; showing boAt Nirvana Ion ANC TWS Earbuds (Green)
